HISTORY_ID,Date Time,Severity Level,Activity Category,Activity Name,Source Action User ID (Integer),Target Action User ID (Integer),Error Code,Description,Use Case,Additional Information
330,2018-05-19T11:49:01.000Z,INFORMATIONAL,USER,LOG_IN,1,4,30007,Wrong format password,,
331,2018-05-19T11:51:02.000Z,INFORMATIONAL,EMPLOYEE,REGISTER_CANDIDATE,4,2,,,,Generation of detailed report for FA
332,2018-05-19T11:52:01.000Z,ERROR,EMPLOYEE,UPDATE_EMPLOYEE,9,1,30005,Wrong format of date of birth,,
333,2018-05-19T11:56:03.000Z,DEBUG,PROJECT,CREATE_PROJECT,3,,,,,
334,2018-05-19T11:55:07.000Z,INFORMATIONAL,PROJECT_EMPLOYEE,ADD_EMPLOYEE_TO_PROJECT,4,5,,,,
335,2018-05-19T11:55:10.000Z,INFORMATIONAL,COMPANY,UPDATE_COMPANY,4,,,,,
336,2018-05-19T11:58:01.000Z,WARNING,DOCUMENT,ATTACH_DOCUMENT,2,4,,The file size is 800 MB,,
337,2018-05-19T11:59:32.000Z,INFORMATIONAL,TECHNOLOGY,ADD_TECHNOLOGY,8,,,,,
338,2018-05-19T11:59:45.000Z,DEBUG,DOCUMENT,DELETED_DOCUMENT,7,3,,Document name: Pesho's CV.pdf,,
339,2018-05-19T11:59:56.000Z,INFORMATIONAL,DOCUMENT,DELETED_DOCUMENT,9,1,,Document name: 545455 CV.pdf,,
339,2018-05-19T11:59:57.000Z,INFORMATIONAL,DOCUMENT,DELETED_DOCUMENT,6,4,,Document name: 654545 CV.pdf,,
