HISTORY_ID,Date Time,Severity Level,Activity Category,Activity Name,Source Action User ID (Integer),Target Action User ID (Integer),Error Code,Description,Use Case,Additional Information
360,2018-05-21T11:49:01.000Z,INFORMATIONAL,USER,LOG_IN,1,8,30006,Wrong format email,,
361,2018-05-21T11:55:09.000Z,INFORMATIONAL,COMPANY,UPDATE_COMPANY,3,,,,,
362,2018-05-21T11:51:01.000Z,ERROR,EMPLOYEE,UPDATE_EMPLOYEE,2,4,30005,Wrong format of date of birth,,
363,2018-05-21T11:55:03.000Z,DEBUG,PROJECT,CREATE_PROJECT,8,,,,,
364,2018-05-21T11:55:07.000Z,INFORMATIONAL,PROJECT_EMPLOYEE,ADD_EMPLOYEE_TO_PROJECT,1,1,,,,
365,2018-05-21T11:55:09.000Z,INFORMATIONAL,COMPANY,UPDATE_COMPANY,7,,,,,
366,2018-05-21T11:58:01.000Z,WARNING,DOCUMENT,ATTACH_DOCUMENT,2,5,,The file size is 400 MB,,
367,2018-05-21T11:59:02.000Z,INFORMATIONAL,TECHNOLOGY,ADD_TECHNOLOGY,1,,,,,
368,2018-05-21T11:59:23.000Z,DEBUG,DOCUMENT,DELETED_DOCUMENT,4,4,,Document name: 3543456 CV.pdf,,
369,2018-05-21T11:59:34.000Z,INFORMATIONAL,DOCUMENT,UPDATED_DOCUMENT,9,6,,Document name: 5468433 CV.pdf,,
370,2018-05-21T11:59:45.000Z,INFORMATIONAL,DOCUMENT,UPDATED_DOCUMENT,3,8,,Document name: 6844664 CV.pdf,,
